client_num,target
0,2
10,5
11,1
14,4
16,1
20,2
21,2
23,4
24,2
28,4
29,1
30,6
35,0
37,4
42,0
44,2
45,4
49,2
51,1
53,0
54,2
55,2
59,1
60,0
64,4
66,3
67,0
80,2
81,2
84,1
90,1
92,2
94,0
97,2
99,2
100,1
103,1
106,5
111,1
116,1
120,2
122,1
124,2
126,0
128,3
129,2
134,4
136,4
137,2
142,3
143,5
144,4
145,3
146,1
147,2
149,2
152,4
157,4
167,1
173,0
176,4
178,3
179,1
182,4
183,1
184,2
185,4
189,4
190,2
191,0
193,4
198,1
202,4
204,2
210,1
212,3
214,2
215,0
217,3
222,4
223,3
225,2
232,2
234,4
239,1
240,2
241,4
243,0
244,4
251,4
252,6
255,1
258,1
260,4
266,2
267,1
268,1
270,3
272,4
275,0
280,1
282,2
287,2
288,2
289,2
294,2
296,2
297,4
299,2
300,2
301,0
306,4
308,4
310,0
312,0
316,4
317,2
319,2
320,2
321,2
322,3
324,3
328,2
329,2
333,1
338,2
341,4
346,3
350,2
352,3
353,0
354,2
355,0
357,2
361,1
365,2
366,0
367,4
369,2
370,4
371,0
377,3
379,0
380,2
381,5
383,1
386,4
395,2
399,2
401,1
403,3
404,2
406,1
409,3
411,1
413,2
415,0
417,3
423,2
425,5
426,2
427,0
429,0
432,0
434,1
438,2
439,2
441,2
442,0
446,1
447,2
448,1
454,3
455,3
456,2
460,2
462,2
463,2
467,4
468,0
469,0
470,0
477,1
482,4
483,1
485,1
487,2
489,6
491,4
493,4
498,2
500,2
501,0
504,2
506,4
507,4
508,4
509,1
512,3
513,1
514,3
515,0
516,4
520,0
521,1
527,1
529,4
533,4
534,1
535,0
538,2
540,1
544,0
545,2
551,0
553,1
567,4
569,2
570,2
571,4
579,2
587,0
588,0
590,3
592,1
593,0
595,0
596,1
598,0
599,2
600,2
603,4
610,4
611,2
616,2
625,4
630,2
635,0
636,2
637,1
638,1
642,2
644,0
645,2
648,5
651,3
652,4
655,1
656,1
662,1
664,1
668,2
671,4
672,2
673,0
675,2
678,0
679,4
681,1
682,0
683,5
684,1
685,2
687,1
689,2
690,4
692,0
695,4
696,2
697,2
700,4
710,4
713,0
714,0
715,4
716,6
717,1
719,2
723,2
725,4
726,1
727,4
730,1
731,2
734,0
735,4
736,1
737,2
738,2
739,6
743,0
744,4
746,4
748,3
750,0
751,1
755,1
756,2
757,4
759,3
760,1
762,1
763,4
765,3
768,0
773,1
776,1
781,2
782,1
784,2
785,2
786,2
791,3
795,0
803,2
807,4
809,4
814,0
816,2
818,4
821,4
822,4
827,2
828,4
831,2
832,4
834,2
838,2
840,2
841,4
842,3
847,1
849,1
851,5
853,4
854,1
856,2
861,2
864,1
868,0
879,4
881,2
882,2
883,2
898,4
899,1
903,4
905,3
906,0
907,4
910,2
915,4
919,1
925,2
928,2
931,3
932,4
934,4
935,0
936,2
941,3
943,0
946,0
948,2
949,1
951,2
954,2
956,1
965,2
966,2
969,4
972,0
973,1
974,2
980,2
981,2
984,2
985,2
987,2
989,0
990,2
998,4
1000,2
1002,2
1008,4
1012,3
1013,2
1020,4
1021,2
1028,4
1029,4
1030,0
1032,2
1047,2
1048,2
1060,2
1061,4
1062,1
1063,0
1070,4
1074,2
1077,0
1078,2
1080,2
1083,2
1086,2
1087,1
1097,1
1101,4
1102,0
1106,2
1107,4
1108,4
1112,1
1113,1
1118,1
1119,2
1120,3
1121,3
1122,1
1123,2
1124,2
1128,4
1133,3
1134,3
1135,1
1137,2
1143,2
1145,2
1147,1
1150,2
1155,2
1156,1
1159,3
1160,2
1161,1
1163,2
1165,2
1166,4
1167,2
1170,3
1174,4
1176,1
1181,0
1182,1
1187,2
1188,2
1194,0
1198,1
1200,3
1202,1
1203,3
1206,2
1208,3
1211,2
1213,2
1214,1
1215,0
1218,1
1222,1
1224,2
1225,4
1230,0
1233,1
1234,2
1242,1
1243,2
1244,4
1249,2
1260,0
1266,2
1268,1
1273,2
1274,1
1276,4
1277,1
1279,4
1280,1
1285,0
1286,2
1287,3
1288,0
1289,2
1298,2
1300,0
1301,2
1302,2
1304,1
1308,1
1312,6
1313,6
1314,2
1315,2
1316,0
1318,2
1320,1
1322,4
1330,1
1331,4
1333,4
1334,1
1338,0
1340,4
1344,2
1350,1
1358,2
1359,2
1363,2
1367,3
1368,2
1369,4
1371,0
1373,1
1374,1
1377,2
1385,4
1394,3
1401,0
1404,2
1407,4
1412,2
1416,4
1417,2
1418,1
1420,3
1421,1
1423,3
1425,2
1428,4
1429,4
1430,2
1433,0
1434,2
1445,1
1450,4
1455,1
1457,2
1461,2
1465,1
1468,2
1469,0
1472,1
1482,3
1483,0
1484,2
1488,2
1489,2
1490,2
1492,1
1499,2
1500,4
1503,4
1506,3
1508,1
1511,2
1523,4
1525,2
1526,2
1528,1
1529,1
1531,0
1534,1
1535,0
1537,2
1538,1
1539,2
1540,0
1543,1
1546,2
1556,2
1559,0
1560,1
1563,1
1565,4
1574,3
1575,0
1577,2
1579,4
1587,1
1590,4
1592,1
1593,1
1598,3
1599,1
1606,4
1607,0
1608,4
1609,2
1611,1
1612,3
1614,3
1619,4
1620,2
1625,2
1630,3
1632,2
1641,2
1643,4
1644,2
1646,1
1647,2
1648,1
1650,1
1655,4
1658,2
1660,1
1662,4
1664,0
1667,4
1668,6
1670,2
1672,1
1676,4
1677,2
1678,6
1692,4
1694,1
1696,2
1699,4
1701,0
1702,3
1710,1
1713,4
1715,0
1727,4
1728,4
1731,2
1734,0
1737,1
1738,4
1739,1
1745,3
1748,4
1749,2
1755,4
1759,4
1764,0
1771,2
1774,2
1775,3
1777,4
1779,2
1780,4
1789,4
1792,4
1794,4
1800,4
1801,0
1813,4
1816,4
1817,2
1822,1
1823,3
1824,2
1828,3
1829,3
1831,0
1832,1
1833,1
1835,2
1843,0
1845,1
1847,3
1848,0
1850,2
1854,2
1860,2
1861,2
1863,1
1865,2
1867,3
1868,3
1869,0
1881,2
1882,2
1885,2
1890,0
1892,2
1895,4
1900,1
1902,0
1903,2
1904,0
1906,3
1912,4
1913,3
1917,1
1918,2
1919,2
1924,1
1933,4
1934,4
1936,1
1937,4
1938,2
1939,3
1940,2
1941,2
1944,1
1948,0
1951,1
1955,0
1956,0
1958,3
1959,1
1960,2
1961,1
1962,2
1963,3
1965,0
1967,2
1970,3
1971,1
1973,4
1980,2
1981,0
1983,0
1988,4
1990,2
1991,1
1993,1
1994,0
1998,1
1999,3
2000,0
2002,1
2004,1
2005,3
2008,2
2014,1
2017,3
2021,3
2022,1
2023,0
2024,3
2026,3
2027,1
2039,2
2040,0
2041,3
2042,4
2043,2
2046,2
2048,1
2051,0
2058,4
2064,4
2067,2
2069,2
2072,1
2073,4
2074,0
2086,0
2087,1
2088,2
2089,4
2090,4
2091,4
2093,1
2095,0
2097,4
2098,1
2101,2
2103,1
2105,1
