client_num,target
0,2
10,6
11,0
14,4
16,1
20,1
21,2
23,2
24,2
28,4
29,1
30,2
35,0
37,4
42,0
44,2
45,4
49,2
51,1
53,0
54,2
55,2
59,1
60,0
64,3
66,2
67,0
80,1
81,2
84,1
90,1
92,1
94,0
97,2
99,2
100,1
103,1
106,6
111,2
116,1
120,2
122,1
124,2
126,0
128,2
129,1
134,2
136,2
137,1
142,3
143,3
144,1
145,3
146,1
147,2
149,2
152,2
157,2
167,1
173,1
176,4
178,2
179,1
182,2
183,0
184,3
185,4
189,2
190,1
191,0
193,4
198,1
202,2
204,2
210,1
212,2
214,2
215,0
217,2
222,4
223,4
225,2
232,1
234,2
239,1
240,2
241,3
243,1
244,1
251,2
252,0
255,1
258,1
260,3
266,2
267,1
268,1
270,2
272,4
275,0
280,1
282,2
287,1
288,3
289,2
294,2
296,2
297,4
299,1
300,2
301,0
306,2
308,2
310,0
312,0
316,4
317,2
319,1
320,2
321,1
322,2
324,2
328,2
329,2
333,2
338,2
341,2
346,2
350,2
352,2
353,0
354,2
355,0
357,1
361,1
365,2
366,1
367,4
369,1
370,4
371,1
377,4
379,0
380,1
381,6
383,1
386,4
395,2
399,1
401,1
403,2
404,2
406,1
409,2
411,1
413,2
415,1
417,4
423,2
425,3
426,2
427,1
429,1
432,0
434,1
438,1
439,2
441,2
442,0
446,0
447,1
448,1
454,1
455,2
456,1
460,2
462,1
463,2
467,6
468,0
469,0
470,0
477,0
482,3
483,0
485,1
487,2
489,3
491,2
493,2
498,2
500,1
501,0
504,2
506,2
507,3
508,2
509,1
512,1
513,1
514,2
515,0
516,2
520,1
521,1
527,2
529,1
533,2
534,1
535,0
538,1
540,1
544,2
545,2
551,1
553,1
567,4
569,1
570,1
571,2
579,2
587,0
588,1
590,2
592,1
593,0
595,0
596,1
598,0
599,2
600,2
603,2
610,2
611,2
616,1
625,3
630,2
635,0
636,2
637,2
638,1
642,1
644,0
645,1
648,2
651,1
652,2
655,1
656,1
662,1
664,1
668,2
671,3
672,2
673,0
675,2
678,0
679,2
681,1
682,1
683,6
684,1
685,4
687,1
689,2
690,3
692,0
695,2
696,1
697,1
700,2
710,4
713,0
714,1
715,4
716,3
717,0
719,2
723,3
725,4
726,1
727,2
730,1
731,1
734,0
735,4
736,1
737,2
738,1
739,2
743,0
744,2
746,2
748,2
750,0
751,1
755,1
756,1
757,3
759,1
760,1
762,0
763,4
765,3
768,1
773,1
776,1
781,2
782,1
784,2
785,1
786,2
791,2
795,0
803,1
807,3
809,4
814,0
816,2
818,2
821,1
822,4
827,2
828,3
831,2
832,3
834,2
838,1
840,2
841,3
842,2
847,1
849,1
851,4
853,4
854,1
856,1
861,2
864,2
868,0
879,3
881,2
882,2
883,2
898,5
899,1
903,4
905,2
906,0
907,3
910,2
915,2
919,1
925,2
928,2
931,2
932,4
934,4
935,0
936,1
941,4
943,0
946,1
948,2
949,1
951,1
954,2
956,1
965,2
966,2
969,2
972,0
973,1
974,2
980,2
981,1
984,4
985,1
987,1
989,0
990,2
998,4
1000,0
1002,1
1008,2
1012,2
1013,1
1020,2
1021,2
1028,2
1029,2
1030,1
1032,1
1047,1
1048,2
1060,2
1061,3
1062,1
1063,1
1070,2
1074,3
1077,0
1078,1
1080,1
1083,2
1086,2
1087,1
1097,3
1101,2
1102,0
1106,4
1107,1
1108,4
1112,1
1113,1
1118,1
1119,1
1120,2
1121,2
1122,1
1123,2
1124,1
1128,3
1133,2
1134,2
1135,2
1137,1
1143,1
1145,2
1147,1
1150,2
1155,2
1156,1
1159,2
1160,1
1161,1
1163,2
1165,1
1166,4
1167,1
1170,2
1174,2
1176,1
1181,0
1182,1
1187,2
1188,1
1194,0
1198,1
1200,2
1202,1
1203,2
1206,2
1208,3
1211,2
1213,2
1214,1
1215,0
1218,1
1222,1
1224,2
1225,3
1230,1
1233,1
1234,3
1242,1
1243,2
1244,4
1249,1
1260,0
1266,2
1268,1
1273,2
1274,1
1276,1
1277,2
1279,2
1280,0
1285,0
1286,1
1287,2
1288,0
1289,2
1298,2
1300,0
1301,2
1302,2
1304,2
1308,2
1312,5
1313,2
1314,1
1315,2
1316,0
1318,1
1320,1
1322,4
1330,1
1331,4
1333,2
1334,1
1338,0
1340,2
1344,2
1350,1
1358,2
1359,2
1363,2
1367,1
1368,3
1369,4
1371,0
1373,1
1374,1
1377,2
1385,2
1394,3
1401,0
1404,2
1407,4
1412,2
1416,4
1417,3
1418,0
1420,4
1421,1
1423,2
1425,2
1428,1
1429,4
1430,1
1433,0
1434,2
1445,1
1450,2
1455,1
1457,2
1461,2
1465,1
1468,2
1469,0
1472,1
1482,1
1483,0
1484,1
1488,2
1489,2
1490,1
1492,1
1499,2
1500,3
1503,2
1506,2
1508,1
1511,2
1523,4
1525,1
1526,4
1528,1
1529,1
1531,1
1534,1
1535,0
1537,1
1538,1
1539,1
1540,0
1543,1
1546,1
1556,2
1559,0
1560,0
1563,1
1565,2
1574,2
1575,0
1577,2
1579,2
1587,1
1590,3
1592,1
1593,0
1598,1
1599,1
1606,2
1607,0
1608,2
1609,1
1611,1
1612,2
1614,4
1619,4
1620,2
1625,2
1630,3
1632,2
1641,2
1643,2
1644,2
1646,2
1647,2
1648,1
1650,2
1655,2
1658,2
1660,1
1662,3
1664,0
1667,2
1668,1
1670,4
1672,1
1676,3
1677,2
1678,2
1692,2
1694,1
1696,2
1699,2
1701,0
1702,4
1710,1
1713,2
1715,1
1727,4
1728,4
1731,1
1734,1
1737,1
1738,2
1739,2
1745,1
1748,2
1749,1
1755,3
1759,4
1764,2
1771,1
1774,1
1775,4
1777,4
1779,1
1780,2
1789,2
1792,4
1794,2
1800,4
1801,2
1813,3
1816,2
1817,2
1822,2
1823,2
1824,2
1828,2
1829,1
1831,0
1832,1
1833,1
1835,1
1843,1
1845,1
1847,2
1848,0
1850,2
1854,1
1860,1
1861,2
1863,1
1865,2
1867,2
1868,2
1869,0
1881,2
1882,4
1885,4
1890,0
1892,2
1895,4
1900,1
1902,0
1903,2
1904,0
1906,3
1912,2
1913,2
1917,1
1918,2
1919,2
1924,1
1933,2
1934,5
1936,1
1937,2
1938,2
1939,3
1940,0
1941,1
1944,1
1948,0
1951,1
1955,0
1956,2
1958,2
1959,1
1960,1
1961,1
1962,2
1963,3
1965,1
1967,1
1970,2
1971,1
1973,2
1980,2
1981,0
1983,0
1988,3
1990,2
1991,2
1993,1
1994,0
1998,1
1999,3
2000,1
2002,1
2004,1
2005,2
2008,1
2014,1
2017,2
2021,1
2022,1
2023,0
2024,2
2026,2
2027,1
2039,1
2040,0
2041,2
2042,2
2043,1
2046,2
2048,1
2051,0
2058,4
2064,4
2067,2
2069,2
2072,1
2073,4
2074,0
2086,1
2087,2
2088,2
2089,4
2090,2
